"COUNTRY_STATE","ADMIN_2","REGION","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","NON_COMPLIANCE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE","ISO3166_1","LAST_UPDATED_DATE"
"Bulgaria","","","Public health measures","Health screenings in airports and border crossings","No","opening of temporary units for border health control at the check points at Gueshevo, Vidin, Vrashka Chuka, Makaza – Nimfea and Ilinden-Eksohi.","Refusal to enter the country","2020-03-18 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/bulgaria-bans-entry-to-citizens-from-countries-with-high-rates-of-coronavirus","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Movement restrictions","International flights suspension","No","the movement of all international trains through the border crossings on the territory of Bulgaria will be stopped *The cancellation of the movement of trains traveling between Sofia and Istanbul has been in force since 11.03.2020.","Not applicable","2020-03-17 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/bulgarian-railways-suspend-services-of-international-trains","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Movement restrictions","Border closure ","No","The European Union is introducing a 30-day ban on incoming travel for foreigners to the territory of the Member States in an attempt to limit the spread of coronavirus. EU citizens who are ill should not be returned to borders and should be given access to health care. Member States may refuse entry of third-country nationals without residence permit for the EU if they consider that they pose a threat to public health.States must respect the principle of free movement of all goods and to guarantee the supply of basic products such as medicines, medical equipment and food products. They are expected to provide priority green lanes for transportation of goods.","Refusal to enter the country","2020-03-17 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/eu-to-close-external-borders-for-30-days","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Governance and socio-economic measures","Emergency administrative structures activated or established","No","organization was created between all institutions involved in this process to coordinate action","Not applicable","2020-03-18 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/president-convenes-meeting-to-discuss-the-measures-to-limit-covid-19-spread","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Schools closure ","No","Authorities announced  on 15 March the closure of schools and univerities in entire country to last from 16 March until 1 April","Not applicable","2020-03-18 00:00:00.000000","LeFaso","Media","https://lefaso.net/spip.php?article95470","2020-03-15 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Limit public gatherings","No","Public gatherings and demonstrations banned until 30 April","Not applicable","2020-03-12 00:00:00.000000","Garda","Media","https://www.garda.com/crisis24/news-alerts/322111/burkina-faso-authorities-ban-public-gatherings-until-at-least-april-30-due-to-covid-19-update-1","2020-03-15 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Public health measures","Health screenings in airports and border crossings","No","Thermal cameras used in airports","Not applicable","2020-03-12 00:00:00.000000","Garda","Media","https://www.garda.com/crisis24/news-alerts/322111/burkina-faso-authorities-ban-public-gatherings-until-at-least-april-30-due-to-covid-19-update-1","2020-03-15 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Movement restrictions","Border checks ","No","Enhanced border controls","Not applicable","2020-03-12 00:00:00.000000","Garda","Media","https://www.garda.com/crisis24/news-alerts/322111/burkina-faso-authorities-ban-public-gatherings-until-at-least-april-30-due-to-covid-19-update-1","2020-03-15 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Public health measures","Awareness campaigns","No","Video and infographics on health and sanitary guidelines","Not applicable","2020-02-13 00:00:00.000000","Ministry of Health","Government","https://www.sante.gov.bf/detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=165&cHash=553848326e0511204c14d95bf6870bb8","2020-03-15 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Limit public gatherings","No","Limitation of religious gathering and priers","Not applicable","2020-03-19 00:00:00.000000","Le Faso","Media","https://lefaso.net/spip.php?page=direct.coronavirus","2020-03-20 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
